sample,ngram-s1,ngram-s2,ngram-s,ngram-n1,ngram-n2,ngram-n,ngram-i1,ngram-i2,ngram-i,lstm-s1,lstm-s2,lstm-s,lstm-n1,lstm-n2,lstm-n,lstm-i1,lstm-i2,lstm-i,dockercomp-s1,dockercomp-s2,dockercomp-s,dockercomp-n1,dockercomp-n2,dockercomp-n,dockercomp-i1,dockercomp-i2,dockercomp-i
81,2,1,1.5,2,2,2,3,2,2.5,1,2,1.5,2,2,2,2,3,2.5,4,4,4,4,4,4,4,4,4
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
83,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
84,1,1,1,1,1,1,1,1,1,1,2,1.5,2,2,2,2,3,2.5,1,1,1,1,1,1,1,2,1.5
85,1,1,1,1,2,1.5,1,2,1.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
87,1,1,1,3,2,2.5,2,2,2,1,2,1.5,2,1,1.5,2,4,3,2,2,2,2,1,1.5,2,3,2.5
88,2,1,1.5,2,2,2,3,2,2.5,1,2,1.5,2,2,2,2,3,2.5,4,4,4,4,4,4,4,4,4
89,3,3,3,3,3,3,4,3,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
90,2,1,1.5,3,2,2.5,3,2,2.5,1,2,1.5,2,4,3,2,4,3,4,4,4,4,4,4,4,4,4
91,2,1,1.5,2,2,2,3,2,2.5,1,2,1.5,2,2,2,2,3,2.5,4,4,4,4,4,4,4,4,4
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
93,1,1,1,3,2,2.5,2,2,2,1,2,1.5,2,1,1.5,2,3,2.5,1,2,1.5,1,1,1,1,3,2
94,2,1,1.5,2,2,2,3,2,2.5,1,2,1.5,2,1,1.5,2,3,2.5,4,4,4,4,4,4,4,4,4
95,1,1,1,3,2,2.5,2,2,2,1,2,1.5,2,1,1.5,2,3,2.5,1,2,1.5,1,1,1,1,2,1.5
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
97,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,2,2,2,1,1,1,2,2,2,2,2,2
98,1,1,1,1,1,1,2,1,1.5,3,3,3,3,4,3.5,3,4,3.5,4,4,4,4,4,4,4,4,4
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,1,3,2,2,3,2.5,2,1,1.5,2,2,2
